shipment_id,po_id,destination,transport_mode,shipment_date,delivery_date,delivery_performance,shipment_status
SHIP00313,PO00313,Hyderabad DC,Sea,2026-02-16,2026-02-21,On Time,Delivered
SHIP00314,PO00314,Hyderabad DC,Sea,2025-09-09,,On Time,Cancelled
SHIP00315,PO00315,JNPT,Rail,2025-03-17,2025-03-24,On Time,Delivered
SHIP00316,PO00316,Delhi ICD,Rail,2026-08-18,2026-08-26,On Time,Delivered
SHIP00317,PO00317,JNPT,Road,2025-03-17,2025-03-23,On Time,Delivered
SHIP00318,PO00318,Pune DC,Rail,2025-03-15,,At Risk,Pending
SHIP00319,PO00319,JNPT,Sea,2026-03-05,2026-03-29,On Time,Delayed
SHIP00320,PO00320,Chennai Port,Sea,2025-06-13,2025-06-22,On Time,Delivered
SHIP00321,PO00321,JNPT,Rail,2025-06-15,2025-06-23,On Time,Delivered
SHIP00322,PO00322,Pune DC,Air,2025-03-21,2025-03-26,At Risk,Delivered
SHIP00323,PO00323,Pune DC,Sea,2025-03-10,,On Time,Pending
SHIP00324,PO00324,Chennai Port,Road,2025-03-03,2025-03-07,On Time,Delivered
SHIP00325,PO00325,Chennai Port,Road,2025-01-20,2025-01-31,On Time,Delivered
SHIP00326,PO00326,Hyderabad DC,Sea,2025-09-29,2025-10-03,At Risk,Delivered
SHIP00327,PO00327,Mumbai Port,Rail,2025-05-08,2025-05-17,On Time,Delivered
SHIP00328,PO00328,Bengaluru DC,Rail,2025-03-18,2025-03-30,On Time,Delivered
SHIP00329,PO00329,JNPT,Sea,2026-06-18,2026-07-07,On Time,Delayed
SHIP00330,PO00330,JNPT,Sea,2025-06-15,,On Time,Pending
SHIP00331,PO00331,Mumbai Port,Road,2025-05-09,2025-05-21,Delayed,Delivered
SHIP00332,PO00332,Delhi ICD,Road,2025-01-15,2025-01-17,On Time,Delivered
SHIP00333,PO00333,JNPT,Air,2025-07-09,2025-07-13,Delayed,Delivered
SHIP00334,PO00334,Delhi ICD,Sea,2025-11-30,,On Time,In Transit
SHIP00335,PO00335,Mumbai Port,Rail,2025-03-07,2025-03-13,At Risk,Delivered
SHIP00336,PO00336,Bengaluru DC,Sea,2025-03-15,2025-03-18,On Time,Delivered
SHIP00337,PO00337,Hyderabad DC,Air,2025-01-18,,On Time,In Transit
SHIP00338,PO00338,Hyderabad DC,Rail,2025-09-10,,At Risk,Cancelled
SHIP00339,PO00339,Chennai Port,Sea,2025-07-22,2025-08-08,On Time,Delayed
SHIP00340,PO00340,Chennai Port,Rail,2025-01-28,2025-02-21,On Time,Delayed
SHIP00341,PO00341,Hyderabad DC,Air,2025-01-11,,Delayed,Cancelled
SHIP00342,PO00342,Mumbai Port,Rail,2025-04-19,,On Time,Pending
SHIP00343,PO00343,JNPT,Road,2025-05-31,,At Risk,In Transit
SHIP00344,PO00344,Delhi ICD,Air,2026-06-28,2026-07-10,On Time,Delivered
SHIP00345,PO00345,Mumbai Port,Sea,2026-08-20,2026-08-29,At Risk,Delivered
SHIP00346,PO00346,JNPT,Air,2026-09-05,,At Risk,Pending
SHIP00347,PO00347,Mumbai Port,Rail,2025-10-27,2025-10-31,On Time,Delivered
SHIP00348,PO00348,Delhi ICD,Road,2025-11-27,2025-12-05,On Time,Delivered
SHIP00349,PO00349,Delhi ICD,Road,2026-09-02,2026-09-05,On Time,Delivered
SHIP00350,PO00350,Mumbai Port,Air,2026-03-03,2026-03-14,On Time,Delivered
SHIP00351,PO00351,Hyderabad DC,Air,2025-11-20,2025-11-22,On Time,Delivered
SHIP00352,PO00352,Pune DC,Sea,2025-11-14,2025-11-24,On Time,Delivered
SHIP00353,PO00353,Hyderabad DC,Air,2025-12-08,2025-12-15,On Time,Delivered
SHIP00354,PO00354,Chennai Port,Road,2025-02-28,2025-03-03,Delayed,Delivered
SHIP00355,PO00355,Mumbai Port,Road,2026-02-25,,Delayed,Pending
SHIP00356,PO00356,Delhi ICD,Road,2025-05-26,2025-05-30,On Time,Delivered
SHIP00357,PO00357,Mumbai Port,Road,2025-05-18,2025-06-02,Delayed,Delayed
SHIP00358,PO00358,Bengaluru DC,Road,2025-04-03,,On Time,Pending
SHIP00359,PO00359,Chennai Port,Air,2025-03-19,,Delayed,Pending
SHIP00360,PO00360,Mumbai Port,Rail,2025-12-08,,On Time,In Transit
SHIP00361,PO00361,JNPT,Road,2026-04-01,,On Time,Pending
SHIP00362,PO00362,JNPT,Rail,2025-06-28,2025-07-10,On Time,Delivered
SHIP00363,PO00363,Bengaluru DC,Rail,2025-06-04,2025-06-16,On Time,Delivered
SHIP00364,PO00364,Chennai Port,Rail,2026-07-22,,On Time,In Transit
SHIP00365,PO00365,Pune DC,Road,2025-08-05,,On Time,In Transit
SHIP00366,PO00366,JNPT,Air,2025-01-29,2025-02-02,On Time,Delivered
SHIP00367,PO00367,Hyderabad DC,Road,2025-12-28,2026-01-02,On Time,Delivered
SHIP00368,PO00368,Pune DC,Rail,2025-11-25,2025-12-02,On Time,Delivered
SHIP00369,PO00369,Bengaluru DC,Sea,2025-03-12,2025-04-03,On Time,Delayed
SHIP00370,PO00370,Pune DC,Air,2025-06-18,2025-06-24,Delayed,Delivered
SHIP00371,PO00371,Delhi ICD,Air,2025-03-08,2025-03-20,Delayed,Delivered
SHIP00372,PO00372,Delhi ICD,Road,2026-01-01,2026-01-10,On Time,Delivered
SHIP00373,PO00373,Mumbai Port,Road,2026-01-10,2026-01-19,On Time,Delivered
SHIP00374,PO00374,Bengaluru DC,Road,2026-08-06,,On Time,In Transit
SHIP00375,PO00375,Delhi ICD,Sea,2025-04-15,2025-05-12,On Time,Delayed
SHIP00376,PO00376,Bengaluru DC,Rail,2025-01-06,2025-01-29,On Time,Delayed
SHIP00377,PO00377,Chennai Port,Sea,2025-07-04,2025-07-11,Delayed,Delivered
SHIP00378,PO00378,Pune DC,Sea,2025-06-01,,On Time,Pending
SHIP00379,PO00379,Hyderabad DC,Sea,2026-01-26,2026-01-30,On Time,Delivered
SHIP00380,PO00380,Pune DC,Air,2025-11-28,,On Time,Pending
SHIP00381,PO00381,Mumbai Port,Sea,2025-12-02,2025-12-09,Delayed,Delivered
SHIP00382,PO00382,JNPT,Rail,2026-01-12,,On Time,Pending
SHIP00383,PO00383,Delhi ICD,Air,2025-10-30,2025-11-03,On Time,Delivered
SHIP00384,PO00384,Pune DC,Air,2026-02-13,2026-02-19,On Time,Delivered
SHIP00385,PO00385,Chennai Port,Sea,2025-08-23,,On Time,In Transit
SHIP00386,PO00386,Mumbai Port,Air,2025-03-24,2025-04-05,At Risk,Delivered
SHIP00387,PO00387,Hyderabad DC,Sea,2025-04-03,,On Time,Pending
SHIP00388,PO00388,Pune DC,Rail,2025-09-16,2025-09-25,On Time,Delivered
SHIP00389,PO00389,Hyderabad DC,Rail,2025-01-03,,On Time,Pending
SHIP00390,PO00390,Chennai Port,Road,2026-03-05,,On Time,In Transit
SHIP00391,PO00391,Pune DC,Rail,2026-05-15,2026-05-22,On Time,Delivered
SHIP00392,PO00392,Delhi ICD,Sea,2025-02-12,2025-02-21,On Time,Delivered
SHIP00393,PO00393,Pune DC,Air,2025-12-23,,On Time,In Transit
SHIP00394,PO00394,Delhi ICD,Air,2025-04-14,2025-05-14,On Time,Delayed
SHIP00395,PO00395,Pune DC,Rail,2025-06-21,,On Time,Pending
SHIP00396,PO00396,Chennai Port,Sea,2025-07-24,2025-07-29,Delayed,Delivered
SHIP00397,PO00397,Chennai Port,Rail,2025-10-05,2025-10-08,On Time,Delivered
SHIP00398,PO00398,Bengaluru DC,Air,2026-08-11,2026-08-20,On Time,Delivered
SHIP00399,PO00399,Hyderabad DC,Rail,2025-04-07,2025-04-28,On Time,Delayed
SHIP00400,PO00400,Hyderabad DC,Road,2025-08-01,2025-08-06,On Time,Delivered
SHIP00401,PO00401,Pune DC,Air,2025-05-09,2025-05-13,At Risk,Delivered
SHIP00402,PO00402,Bengaluru DC,Rail,2025-04-12,,Delayed,Cancelled
SHIP00403,PO00403,Bengaluru DC,Road,2026-01-25,2026-02-05,On Time,Delivered
SHIP00404,PO00404,Bengaluru DC,Air,2025-08-21,2025-09-09,On Time,Delayed
SHIP00405,PO00405,Delhi ICD,Air,2025-04-17,2025-04-19,On Time,Delivered
SHIP00406,PO00406,Hyderabad DC,Sea,2026-09-01,2026-09-13,On Time,Delivered
SHIP00407,PO00407,Chennai Port,Sea,2026-03-13,2026-03-30,On Time,Delayed
SHIP00408,PO00408,Mumbai Port,Air,2025-11-13,2025-11-20,On Time,Delivered
SHIP00409,PO00409,Chennai Port,Air,2026-08-13,,On Time,In Transit
SHIP00410,PO00410,Mumbai Port,Road,2025-06-30,2025-07-02,Delayed,Delivered
SHIP00411,PO00411,Delhi ICD,Sea,2026-03-31,2026-04-04,On Time,Delivered
SHIP00412,PO00412,Chennai Port,Rail,2025-03-21,2025-03-28,On Time,Delivered
SHIP00413,PO00413,Delhi ICD,Road,2025-10-11,,Delayed,In Transit
SHIP00414,PO00414,Hyderabad DC,Rail,2026-06-21,,On Time,In Transit
SHIP00415,PO00415,Bengaluru DC,Rail,2026-08-22,2026-08-25,At Risk,Delivered
SHIP00416,PO00416,Delhi ICD,Air,2025-10-24,2025-10-31,On Time,Delivered
SHIP00417,PO00417,Chennai Port,Road,2026-08-15,2026-09-12,On Time,Delayed
SHIP00418,PO00418,Bengaluru DC,Road,2026-02-27,2026-03-16,Delayed,Delayed
SHIP00419,PO00419,JNPT,Rail,2026-05-10,2026-05-16,On Time,Delivered
SHIP00420,PO00420,Hyderabad DC,Rail,2025-11-26,2025-11-28,On Time,Delivered
SHIP00421,PO00421,JNPT,Rail,2025-11-05,2025-11-10,On Time,Delivered
SHIP00422,PO00422,Hyderabad DC,Sea,2025-04-08,2025-04-20,On Time,Delivered
SHIP00423,PO00423,Hyderabad DC,Sea,2026-05-17,2026-05-29,On Time,Delivered
SHIP00424,PO00424,JNPT,Rail,2025-06-13,2025-06-15,On Time,Delivered
SHIP00425,PO00425,Bengaluru DC,Air,2026-06-22,2026-06-25,On Time,Delivered
SHIP00426,PO00426,Bengaluru DC,Road,2025-03-04,2025-03-08,At Risk,Delivered
SHIP00427,PO00427,Delhi ICD,Air,2025-08-04,,On Time,In Transit
SHIP00428,PO00428,Delhi ICD,Rail,2025-05-10,2025-05-31,On Time,Delayed
SHIP00429,PO00429,Delhi ICD,Sea,2025-07-06,2025-07-18,On Time,Delivered
SHIP00430,PO00430,Hyderabad DC,Sea,2025-10-02,,On Time,Pending
SHIP00431,PO00431,Hyderabad DC,Rail,2025-06-18,2025-06-21,On Time,Delivered
SHIP00432,PO00432,Pune DC,Rail,2025-08-10,2025-09-01,Delayed,Delayed
SHIP00433,PO00433,Hyderabad DC,Rail,2025-01-15,2025-01-17,On Time,Delivered
SHIP00434,PO00434,Delhi ICD,Road,2025-09-21,2025-09-23,On Time,Delivered
SHIP00435,PO00435,JNPT,Sea,2025-12-27,,At Risk,Pending
SHIP00436,PO00436,Chennai Port,Sea,2026-02-18,,On Time,In Transit
SHIP00437,PO00437,Chennai Port,Air,2026-01-22,,Delayed,Pending
SHIP00438,PO00438,JNPT,Road,2025-05-02,,On Time,Pending
SHIP00439,PO00439,Bengaluru DC,Road,2025-10-12,,Delayed,Pending
SHIP00440,PO00440,Delhi ICD,Sea,2025-09-09,,On Time,Pending
SHIP00441,PO00441,Mumbai Port,Road,2025-02-06,,On Time,Pending
SHIP00442,PO00442,Hyderabad DC,Air,2026-02-13,2026-02-21,On Time,Delivered
SHIP00443,PO00443,Delhi ICD,Road,2025-07-21,,Delayed,In Transit
SHIP00444,PO00444,Pune DC,Rail,2026-05-08,2026-05-17,On Time,Delivered
SHIP00445,PO00445,Chennai Port,Rail,2026-08-06,2026-08-19,On Time,Delayed
SHIP00446,PO00446,Chennai Port,Air,2026-07-29,,On Time,In Transit
SHIP00447,PO00447,Hyderabad DC,Rail,2025-08-29,2025-09-01,On Time,Delivered
SHIP00448,PO00448,Mumbai Port,Road,2025-10-01,,On Time,In Transit
SHIP00449,PO00449,Bengaluru DC,Road,2026-08-29,2026-08-31,On Time,Delivered
SHIP00450,PO00450,Hyderabad DC,Sea,2025-05-08,,On Time,In Transit
SHIP00451,PO00451,Pune DC,Rail,2025-06-09,2025-06-15,On Time,Delivered
SHIP00452,PO00452,Pune DC,Sea,2026-04-22,2026-05-06,On Time,Delayed
SHIP00453,PO00453,Hyderabad DC,Road,2025-07-13,2025-07-18,On Time,Delivered
SHIP00454,PO00454,Chennai Port,Sea,2025-06-24,,On Time,In Transit
SHIP00455,PO00455,Delhi ICD,Rail,2025-04-07,,On Time,In Transit
SHIP00456,PO00456,Bengaluru DC,Sea,2026-05-15,2026-05-19,On Time,Delivered
SHIP00457,PO00457,Pune DC,Sea,2025-01-21,2025-02-07,On Time,Delayed
SHIP00458,PO00458,Mumbai Port,Air,2025-09-19,2025-09-27,Delayed,Delivered
SHIP00459,PO00459,Hyderabad DC,Sea,2026-06-06,,On Time,Pending
SHIP00460,PO00460,JNPT,Road,2025-11-03,,On Time,Pending
SHIP00461,PO00461,Bengaluru DC,Rail,2025-05-29,2025-06-05,Delayed,Delivered
SHIP00462,PO00462,Pune DC,Sea,2026-02-28,2026-03-05,On Time,Delivered
SHIP00463,PO00463,Bengaluru DC,Road,2025-01-30,,On Time,Pending
SHIP00464,PO00464,Hyderabad DC,Rail,2025-02-18,2025-02-28,Delayed,Delivered
SHIP00465,PO00465,Delhi ICD,Sea,2025-03-02,,On Time,In Transit
SHIP00466,PO00466,Bengaluru DC,Sea,2026-04-12,2026-05-06,On Time,Delayed
SHIP00467,PO00467,Hyderabad DC,Sea,2025-08-06,2025-08-13,On Time,Delivered
SHIP00468,PO00468,Chennai Port,Rail,2026-06-19,2026-07-01,Delayed,Delivered
SHIP00469,PO00469,Pune DC,Road,2025-04-22,,On Time,In Transit
SHIP00470,PO00470,Delhi ICD,Rail,2026-05-27,,Delayed,In Transit
SHIP00471,PO00471,Hyderabad DC,Road,2025-07-31,2025-08-30,At Risk,Delayed
SHIP00472,PO00472,Delhi ICD,Road,2026-05-28,2026-05-30,On Time,Delivered
SHIP00473,PO00473,Chennai Port,Road,2025-04-13,2025-04-19,On Time,Delivered
SHIP00474,PO00474,Mumbai Port,Air,2026-06-14,,On Time,In Transit
SHIP00475,PO00475,Bengaluru DC,Sea,2026-04-19,2026-04-27,On Time,Delivered
SHIP00476,PO00476,Mumbai Port,Sea,2025-02-20,2025-03-01,On Time,Delivered
SHIP00477,PO00477,Pune DC,Sea,2025-02-17,2025-02-26,Delayed,Delivered
SHIP00478,PO00478,Bengaluru DC,Air,2025-10-04,2025-10-15,At Risk,Delivered
SHIP00479,PO00479,Chennai Port,Road,2026-02-26,2026-02-28,At Risk,Delivered
SHIP00480,PO00480,Mumbai Port,Road,2026-05-07,2026-05-17,On Time,Delivered
SHIP00481,PO00481,Mumbai Port,Sea,2025-03-14,,On Time,In Transit
SHIP00482,PO00482,Mumbai Port,Air,2026-08-12,2026-08-21,On Time,Delivered
SHIP00483,PO00483,JNPT,Sea,2025-02-11,,On Time,Pending
SHIP00484,PO00484,Pune DC,Road,2026-03-09,2026-03-21,At Risk,Delivered
SHIP00485,PO00485,Chennai Port,Air,2026-06-30,2026-07-04,On Time,Delivered
SHIP00486,PO00486,Hyderabad DC,Road,2025-12-20,2026-01-19,On Time,Delayed
SHIP00487,PO00487,Chennai Port,Rail,2026-05-11,,At Risk,In Transit
SHIP00488,PO00488,Mumbai Port,Air,2025-03-02,,On Time,Pending
SHIP00489,PO00489,Pune DC,Road,2026-05-30,2026-06-03,On Time,Delivered
SHIP00490,PO00490,Pune DC,Rail,2025-10-20,2025-10-28,Delayed,Delivered
SHIP00491,PO00491,Delhi ICD,Sea,2025-08-30,2025-09-04,On Time,Delivered
SHIP00492,PO00492,Mumbai Port,Rail,2026-06-03,2026-06-19,On Time,Delayed
SHIP00493,PO00493,Bengaluru DC,Road,2025-01-31,,On Time,Cancelled
SHIP00494,PO00494,Mumbai Port,Air,2025-04-10,2025-05-06,On Time,Delayed
SHIP00495,PO00495,Delhi ICD,Sea,2026-04-15,2026-04-17,On Time,Delivered
SHIP00496,PO00496,Delhi ICD,Air,2025-12-13,2025-12-16,On Time,Delivered
SHIP00497,PO00497,JNPT,Road,2026-04-18,,On Time,Pending
SHIP00498,PO00498,JNPT,Sea,2025-10-28,2025-11-09,On Time,Delivered
SHIP00499,PO00499,Chennai Port,Road,2025-06-27,2025-07-03,At Risk,Delivered
SHIP00500,PO00500,Mumbai Port,Road,2025-07-23,2025-07-31,On Time,Delivered
SHIP00501,PO00501,Mumbai Port,Air,2025-12-16,2025-12-24,On Time,Delivered
SHIP00502,PO00502,Delhi ICD,Road,2026-08-27,2026-09-08,On Time,Delivered
SHIP00503,PO00503,Pune DC,Sea,2026-06-04,2026-06-09,Delayed,Delivered
SHIP00504,PO00504,Chennai Port,Sea,2026-03-24,,On Time,In Transit
SHIP00505,PO00505,Hyderabad DC,Road,2026-08-19,2026-08-31,On Time,Delivered
SHIP00506,PO00506,JNPT,Road,2025-11-29,,On Time,Pending
SHIP00507,PO00507,Hyderabad DC,Sea,2025-09-14,2025-09-19,Delayed,Delivered
SHIP00508,PO00508,Pune DC,Air,2025-05-23,,On Time,Pending
SHIP00509,PO00509,Pune DC,Sea,2025-11-10,2025-11-17,On Time,Delivered
SHIP00510,PO00510,Delhi ICD,Sea,2025-08-22,,On Time,In Transit
SHIP00511,PO00511,Chennai Port,Sea,2025-05-20,2025-06-06,On Time,Delayed
SHIP00512,PO00512,Bengaluru DC,Air,2025-12-08,2025-12-19,On Time,Delivered
SHIP00513,PO00513,Chennai Port,Road,2026-03-06,2026-03-08,On Time,Delivered
SHIP00514,PO00514,JNPT,Road,2025-01-26,,On Time,Pending
SHIP00515,PO00515,Pune DC,Air,2025-03-06,2025-03-18,On Time,Delivered
SHIP00516,PO00516,Delhi ICD,Sea,2025-06-08,,On Time,In Transit
SHIP00517,PO00517,Hyderabad DC,Rail,2026-01-10,2026-02-09,On Time,Delayed
SHIP00518,PO00518,Delhi ICD,Road,2026-07-31,,On Time,In Transit
SHIP00519,PO00519,Pune DC,Air,2025-10-27,,On Time,Pending
SHIP00520,PO00520,JNPT,Rail,2025-11-21,2025-11-28,On Time,Delivered
SHIP00521,PO00521,Bengaluru DC,Sea,2026-04-04,2026-04-11,On Time,Delivered
SHIP00522,PO00522,JNPT,Rail,2025-07-31,2025-08-12,Delayed,Delivered
SHIP00523,PO00523,Hyderabad DC,Air,2025-03-30,2025-04-11,On Time,Delivered
SHIP00524,PO00524,Bengaluru DC,Rail,2025-10-22,2025-10-31,On Time,Delivered
SHIP00525,PO00525,Hyderabad DC,Rail,2025-01-18,,On Time,Pending
SHIP00526,PO00526,Hyderabad DC,Sea,2025-03-05,2025-03-23,On Time,Delayed
SHIP00527,PO00527,Bengaluru DC,Sea,2026-01-09,2026-01-15,On Time,Delivered
SHIP00528,PO00528,Delhi ICD,Road,2026-06-21,2026-06-24,At Risk,Delivered
SHIP00529,PO00529,Mumbai Port,Road,2025-04-14,,On Time,Cancelled
SHIP00530,PO00530,Chennai Port,Air,2025-11-02,,On Time,Pending
SHIP00531,PO00531,Chennai Port,Sea,2025-01-17,2025-01-19,On Time,Delivered
SHIP00532,PO00532,Mumbai Port,Rail,2025-09-15,2025-09-22,On Time,Delivered
SHIP00533,PO00533,Mumbai Port,Road,2025-05-03,2025-05-17,On Time,Delayed
SHIP00534,PO00534,Pune DC,Road,2026-06-23,2026-06-27,At Risk,Delivered
SHIP00535,PO00535,Hyderabad DC,Road,2025-02-25,2025-02-27,On Time,Delivered
SHIP00536,PO00536,Hyderabad DC,Air,2025-04-15,,On Time,Cancelled
SHIP00537,PO00537,Bengaluru DC,Air,2025-08-08,2025-08-19,At Risk,Delivered
SHIP00538,PO00538,Mumbai Port,Air,2025-04-23,2025-05-10,Delayed,Delayed
SHIP00539,PO00539,JNPT,Road,2025-06-10,2025-07-05,At Risk,Delayed
SHIP00540,PO00540,Delhi ICD,Sea,2025-07-04,2025-07-15,On Time,Delivered
SHIP00541,PO00541,JNPT,Sea,2025-09-26,2025-10-16,On Time,Delayed
SHIP00542,PO00542,Delhi ICD,Road,2025-01-21,,On Time,Pending
SHIP00543,PO00543,Pune DC,Sea,2025-03-17,2025-03-28,On Time,Delivered
SHIP00544,PO00544,Chennai Port,Sea,2026-01-06,2026-01-09,On Time,Delivered
SHIP00545,PO00545,Pune DC,Sea,2025-04-11,,On Time,Pending
SHIP00546,PO00546,Chennai Port,Sea,2025-02-06,2025-02-18,Delayed,Delivered
SHIP00547,PO00547,Chennai Port,Sea,2026-07-22,2026-07-24,Delayed,Delivered
SHIP00548,PO00548,Hyderabad DC,Road,2026-01-28,2026-02-01,On Time,Delivered
SHIP00549,PO00549,JNPT,Sea,2026-08-22,,On Time,In Transit
SHIP00550,PO00550,JNPT,Air,2025-08-10,2025-08-16,Delayed,Delivered
SHIP00551,PO00551,Chennai Port,Road,2026-06-16,,On Time,In Transit
SHIP00552,PO00552,Chennai Port,Road,2025-07-28,2025-07-31,On Time,Delivered
SHIP00553,PO00553,Chennai Port,Sea,2026-07-23,2026-07-25,Delayed,Delivered
SHIP00554,PO00554,Delhi ICD,Rail,2025-09-21,2025-09-27,On Time,Delivered
SHIP00555,PO00555,JNPT,Rail,2025-05-17,2025-05-21,Delayed,Delivered
SHIP00556,PO00556,Mumbai Port,Rail,2025-07-25,2025-07-30,On Time,Delivered
SHIP00557,PO00557,Mumbai Port,Air,2026-09-03,2026-09-09,On Time,Delivered
SHIP00558,PO00558,Delhi ICD,Rail,2026-03-20,2026-03-28,On Time,Delivered
SHIP00559,PO00559,JNPT,Road,2026-03-28,2026-03-31,On Time,Delivered
SHIP00560,PO00560,Pune DC,Rail,2026-05-17,,On Time,In Transit
SHIP00561,PO00561,JNPT,Rail,2025-04-30,,On Time,Pending
SHIP00562,PO00562,Mumbai Port,Road,2025-05-28,,Delayed,In Transit
SHIP00563,PO00563,Bengaluru DC,Road,2025-03-24,2025-04-11,Delayed,Delayed
SHIP00564,PO00564,JNPT,Rail,2026-09-06,2026-09-24,On Time,Delayed
SHIP00565,PO00565,Pune DC,Air,2026-07-08,2026-07-12,On Time,Delivered
SHIP00566,PO00566,Chennai Port,Rail,2026-08-28,2026-08-30,On Time,Delivered
SHIP00567,PO00567,JNPT,Air,2026-02-19,2026-02-23,On Time,Delivered
SHIP00568,PO00568,JNPT,Road,2025-06-24,2025-07-03,On Time,Delivered
SHIP00569,PO00569,Pune DC,Road,2026-08-06,,On Time,In Transit
SHIP00570,PO00570,Chennai Port,Sea,2026-05-22,2026-05-28,On Time,Delivered
SHIP00571,PO00571,Bengaluru DC,Sea,2025-08-07,2025-08-15,At Risk,Delivered
SHIP00572,PO00572,Bengaluru DC,Sea,2025-02-26,2025-03-09,Delayed,Delivered
SHIP00573,PO00573,JNPT,Sea,2025-10-17,,On Time,Pending
SHIP00574,PO00574,Delhi ICD,Air,2026-01-24,2026-02-04,On Time,Delivered
SHIP00575,PO00575,Delhi ICD,Road,2025-08-24,2025-08-30,On Time,Delivered
SHIP00576,PO00576,Chennai Port,Rail,2026-05-13,2026-06-01,On Time,Delayed
SHIP00577,PO00577,Hyderabad DC,Air,2025-09-03,2025-09-20,On Time,Delayed
SHIP00578,PO00578,Chennai Port,Air,2026-01-09,2026-01-14,On Time,Delivered
SHIP00579,PO00579,Delhi ICD,Rail,2025-12-13,,On Time,In Transit
SHIP00580,PO00580,JNPT,Rail,2026-09-04,,Delayed,Pending
SHIP00581,PO00581,Delhi ICD,Sea,2026-08-13,2026-08-15,At Risk,Delivered
SHIP00582,PO00582,Mumbai Port,Air,2026-08-21,,On Time,Pending
SHIP00583,PO00583,Pune DC,Sea,2026-03-01,2026-03-03,On Time,Delivered
SHIP00584,PO00584,JNPT,Road,2025-10-24,2025-11-03,At Risk,Delivered
SHIP00585,PO00585,Delhi ICD,Road,2026-05-12,2026-06-11,On Time,Delayed
SHIP00586,PO00586,Delhi ICD,Road,2025-07-10,,On Time,In Transit
SHIP00587,PO00587,Delhi ICD,Air,2025-12-23,2026-01-19,On Time,Delayed
SHIP00588,PO00588,Chennai Port,Sea,2025-05-17,2025-06-02,On Time,Delayed
SHIP00589,PO00589,Hyderabad DC,Road,2026-03-15,2026-03-25,At Risk,Delivered
SHIP00590,PO00590,Chennai Port,Air,2025-02-12,,On Time,Pending
SHIP00591,PO00591,JNPT,Rail,2026-07-15,2026-08-05,Delayed,Delayed
SHIP00592,PO00592,Delhi ICD,Sea,2025-02-18,2025-02-26,On Time,Delivered
SHIP00593,PO00593,JNPT,Sea,2026-01-27,2026-01-31,On Time,Delivered
SHIP00594,PO00594,Chennai Port,Air,2026-05-11,2026-05-28,At Risk,Delayed
SHIP00595,PO00595,JNPT,Road,2026-02-27,2026-03-02,On Time,Delivered
SHIP00596,PO00596,Chennai Port,Rail,2026-08-23,2026-09-12,At Risk,Delayed
SHIP00597,PO00597,Chennai Port,Air,2025-11-28,2025-12-10,On Time,Delivered
SHIP00598,PO00598,Delhi ICD,Air,2025-09-23,,On Time,Pending
SHIP00599,PO00599,Hyderabad DC,Air,2026-02-17,2026-03-01,Delayed,Delivered
SHIP00600,PO00600,Chennai Port,Sea,2025-07-07,2025-07-09,On Time,Delivered
SHIP00601,PO00601,Mumbai Port,Air,2026-08-24,2026-09-01,Delayed,Delivered
SHIP00602,PO00602,Bengaluru DC,Rail,2025-05-07,2025-05-11,Delayed,Delivered
SHIP00603,PO00603,JNPT,Sea,2025-04-17,,At Risk,Pending
SHIP00604,PO00604,Bengaluru DC,Air,2025-02-25,,On Time,In Transit
SHIP00605,PO00605,Delhi ICD,Road,2026-05-05,2026-05-12,On Time,Delivered
SHIP00606,PO00606,Mumbai Port,Air,2025-04-02,2025-04-14,At Risk,Delivered
SHIP00607,PO00607,JNPT,Sea,2026-06-19,2026-06-27,On Time,Delivered
SHIP00608,PO00608,Mumbai Port,Air,2025-06-30,2025-07-07,On Time,Delivered
SHIP00609,PO00609,Chennai Port,Rail,2026-06-23,,On Time,Pending
SHIP00610,PO00610,Pune DC,Rail,2025-08-30,2025-09-10,On Time,Delivered
SHIP00611,PO00611,Pune DC,Road,2025-06-21,2025-06-29,On Time,Delivered
SHIP00612,PO00612,JNPT,Sea,2026-08-26,2026-09-08,On Time,Delayed
SHIP00613,PO00613,Pune DC,Rail,2025-04-05,,At Risk,Pending
SHIP00614,PO00614,JNPT,Air,2025-10-12,2025-10-14,At Risk,Delivered
SHIP00615,PO00615,Pune DC,Air,2025-01-11,,On Time,In Transit
SHIP00616,PO00616,Delhi ICD,Road,2026-06-02,2026-06-08,On Time,Delivered
SHIP00617,PO00617,Bengaluru DC,Road,2026-07-15,2026-07-17,Delayed,Delivered
SHIP00618,PO00618,Pune DC,Sea,2025-09-11,2025-10-06,On Time,Delayed
SHIP00619,PO00619,Mumbai Port,Air,2025-02-08,2025-02-18,On Time,Delivered
SHIP00620,PO00620,Delhi ICD,Rail,2025-08-22,,On Time,In Transit
SHIP00621,PO00621,Bengaluru DC,Rail,2026-01-09,2026-01-18,On Time,Delivered
SHIP00622,PO00622,Hyderabad DC,Rail,2025-10-23,2025-10-30,On Time,Delivered
SHIP00623,PO00623,Delhi ICD,Air,2026-05-11,2026-05-21,On Time,Delivered
SHIP00624,PO00624,Pune DC,Air,2025-07-21,2025-07-26,On Time,Delivered
SHIP00625,PO00625,Hyderabad DC,Rail,2025-10-03,2025-10-07,On Time,Delivered
SHIP00626,PO00626,Mumbai Port,Rail,2026-01-01,,On Time,In Transit
SHIP00627,PO00627,Delhi ICD,Air,2026-05-28,2026-05-31,On Time,Delivered
